Sr_no,Marks,Code
1.0,205.0,441119
2.0,368.0,441119
3.0,124.0,441119
4.0,252.0,441119
5.0,216.0,441119
6.0,65.0,441119
7.0,195.0,441119
8.0,343.0,441119
9.0,285.0,441119
10.0,94.0,441119
11.0,159.0,441119
12.0,39.0,441119
13.0,282.0,441119
14.0,84.0,441119
15.0,366.0,441119
16.0,655.0,441119
17.0,448.0,441119
18.0,345.0,441119
19.0,623.0,441119
20.0,272.0,441119
21.0,221.0,441119
22.0,25.0,441119
23.0,584.0,441119
24.0,138.0,441119
25.0,138.0,441119
26.0,296.0,441119
27.0,115.0,441119
28.0,480.0,441119
29.0,30.0,441119
30.0,90.0,441119
301.0,444.0,441119
302.0,295.0,441119
303.0,475.0,441119
304.0,290.0,441119
305.0,308.0,441119
306.0,28.0,441119
307.0,202.0,441119
308.0,120.0,441119
309.0,110.0,441119
310.0,97.0,441119
311.0,267.0,441119
312.0,117.0,441119
313.0,26.0,441119
314.0,159.0,441119
315.0,199.0,441119
316.0,432.0,441119
317.0,66.0,441119
318.0,72.0,441119
319.0,92.0,441119
320.0,277.0,441119
321.0,423.0,441119
322.0,465.0,441119
323.0,554.0,441119
324.0,89.0,441119
325.0,118.0,441119
326.0,65.0,441119
327.0,297.0,441119
328.0,188.0,441119
329.0,687.0,441119
330.0,193.0,441119
601.0,225.0,441119
602.0,44.0,441119
603.0,85.0,441119
604.0,91.0,441119
605.0,251.0,441119
606.0,510.0,441119
607.0,554.0,441119
608.0,160.0,441119
609.0,238.0,441119
610.0,410.0,441119
611.0,131.0,441119
612.0,83.0,441119
613.0,489.0,441119
614.0,89.0,441119
615.0,41.0,441119
616.0,527.0,441119
617.0,154.0,441119
618.0,426.0,441119
619.0,255.0,441119
620.0,519.0,441119
621.0,152.0,441119
622.0,211.0,441119
623.0,509.0,441119
624.0,582.0,441119
625.0,180.0,441119
626.0,274.0,441119
627.0,106.0,441119
628.0,87.0,441119
629.0,185.0,441119
630.0,75.0,441119
31.0,87.0,441119
32.0,566.0,441119
33.0,35.0,441119
34.0,141.0,441119
35.0,163.0,441119
36.0,168.0,441119
37.0,333.0,441119
38.0,505.0,441119
39.0,121.0,441119
40.0,184.0,441119
41.0,229.0,441119
42.0,108.0,441119
43.0,305.0,441119
44.0,37.0,441119
45.0,119.0,441119
46.0,48.0,441119
47.0,525.0,441119
48.0,274.0,441119
49.0,30.0,441119
50.0,525.0,441119
51.0,29.0,441119
52.0,64.0,441119
53.0,293.0,441119
54.0,135.0,441119
55.0,599.0,441119
56.0,54.0,441119
57.0,298.0,441119
58.0,65.0,441119
59.0,538.0,441119
60.0,388.0,441119
331.0,672.0,441119
332.0,54.0,441119
333.0,449.0,441119
334.0,318.0,441119
335.0,522.0,441119
336.0,238.0,441119
337.0,30.0,441119
338.0,306.0,441119
339.0,636.0,441119
340.0,187.0,441119
341.0,127.0,441119
342.0,166.0,441119
343.0,445.0,441119
344.0,59.0,441119
345.0,79.0,441119
346.0,85.0,441119
347.0,78.0,441119
348.0,314.0,441119
349.0,106.0,441119
350.0,174.0,441119
351.0,194.0,441119
352.0,120.0,441119
353.0,561.0,441119
354.0,514.0,441119
355.0,121.0,441119
356.0,215.0,441119
357.0,145.0,441119
358.0,206.0,441119
359.0,131.0,441119
360.0,221.0,441119
631.0,49.0,441119
632.0,151.0,441119
633.0,92.0,441119
634.0,85.0,441119
635.0,380.0,441119
636.0,109.0,441119
637.0,535.0,441119
638.0,211.0,441119
639.0,222.0,441119
640.0,573.0,441119
641.0,244.0,441119
642.0,160.0,441119
643.0,335.0,441119
644.0,198.0,441119
645.0,333.0,441119
646.0,217.0,441119
647.0,125.0,441119
648.0,142.0,441119
649.0,64.0,441119
650.0,660.0,441119
651.0,65.0,441119
652.0,162.0,441119
653.0,61.0,441119
654.0,233.0,441119
655.0,152.0,441119
656.0,61.0,441119
657.0,55.0,441119
658.0,240.0,441119
659.0,328.0,441119
660.0,207.0,441119
61.0,585.0,441119
62.0,504.0,441119
63.0,54.0,441119
64.0,543.0,441119
65.0,539.0,441119
66.0,46.0,441119
67.0,466.0,441119
68.0,410.0,441119
69.0,361.0,441119
70.0,518.0,441119
71.0,329.0,441119
72.0,406.0,441119
73.0,130.0,441119
74.0,266.0,441119
75.0,144.0,441119
76.0,69.0,441119
77.0,151.0,441119
78.0,127.0,441119
79.0,116.0,441119
80.0,259.0,441119
81.0,172.0,441119
82.0,393.0,441119
83.0,80.0,441119
84.0,330.0,441119
85.0,395.0,441119
86.0,455.0,441119
87.0,118.0,441119
88.0,229.0,441119
89.0,166.0,441119
90.0,136.0,441119
361.0,227.0,441119
362.0,191.0,441119
363.0,89.0,441119
364.0,73.0,441119
365.0,539.0,441119
366.0,214.0,441119
367.0,277.0,441119
368.0,141.0,441119
369.0,427.0,441119
370.0,192.0,441119
371.0,337.0,441119
372.0,85.0,441119
373.0,122.0,441119
374.0,176.0,441119
375.0,83.0,441119
376.0,274.0,441119
377.0,62.0,441119
378.0,140.0,441119
379.0,337.0,441119
380.0,463.0,441119
381.0,155.0,441119
382.0,121.0,441119
383.0,381.0,441119
384.0,141.0,441119
385.0,75.0,441119
386.0,169.0,441119
387.0,205.0,441119
388.0,45.0,441119
389.0,478.0,441119
390.0,172.0,441119
661.0,85.0,441119
662.0,167.0,441119
663.0,141.0,441119
664.0,119.0,441119
665.0,247.0,441119
666.0,309.0,441119
667.0,57.0,441119
668.0,262.0,441119
669.0,58.0,441119
670.0,352.0,441119
671.0,95.0,441119
672.0,60.0,441119
673.0,579.0,441119
674.0,41.0,441119
675.0,45.0,441119
676.0,147.0,441119
677.0,316.0,441119
678.0,157.0,441119
679.0,267.0,441119
680.0,124.0,441119
681.0,25.0,441119
682.0,168.0,441119
683.0,48.0,441119
684.0,161.0,441119
685.0,198.0,441119
686.0,233.0,441119
687.0,77.0,441119
688.0,248.0,441119
689.0,42.0,441119
690.0,262.0,441119
91.0,342.0,441119
92.0,340.0,441119
93.0,83.0,441119
94.0,47.0,441119
95.0,206.0,441119
96.0,311.0,441119
97.0,168.0,441119
98.0,353.0,441119
99.0,69.0,441119
100.0,143.0,441119
101.0,259.0,441119
102.0,342.0,441119
103.0,272.0,441119
104.0,237.0,441119
105.0,403.0,441119
106.0,14.0,441119
107.0,46.0,441119
108.0,89.0,441119
109.0,158.0,441119
110.0,21.0,441119
111.0,141.0,441119
112.0,276.0,441119
113.0,527.0,441119
114.0,403.0,441119
115.0,137.0,441119
116.0,413.0,441119
117.0,366.0,441119
118.0,289.0,441119
119.0,443.0,441119
120.0,100.0,441119
391.0,179.0,441119
392.0,562.0,441119
393.0,39.0,441119
394.0,108.0,441119
395.0,326.0,441119
396.0,90.0,441119
397.0,181.0,441119
398.0,139.0,441119
399.0,188.0,441119
400.0,184.0,441119
401.0,40.0,441119
402.0,49.0,441119
403.0,523.0,441119
404.0,492.0,441119
405.0,45.0,441119
406.0,631.0,441119
407.0,55.0,441119
408.0,32.0,441119
409.0,90.0,441119
410.0,584.0,441119
411.0,105.0,441119
412.0,196.0,441119
413.0,395.0,441119
414.0,234.0,441119
415.0,257.0,441119
416.0,125.0,441119
417.0,627.0,441119
418.0,219.0,441119
419.0,362.0,441119
420.0,123.0,441119
691.0,305.0,441119
692.0,41.0,441119
693.0,524.0,441119
694.0,277.0,441119
695.0,129.0,441119
696.0,452.0,441119
697.0,262.0,441119
698.0,165.0,441119
699.0,58.0,441119
700.0,201.0,441119
701.0,276.0,441119
702.0,545.0,441119
703.0,57.0,441119
704.0,117.0,441119
705.0,217.0,441119
706.0,533.0,441119
707.0,452.0,441119
708.0,313.0,441119
709.0,604.0,441119
121.0,285.0,441119
122.0,572.0,441119
123.0,155.0,441119
124.0,655.0,441119
125.0,264.0,441119
126.0,363.0,441119
127.0,283.0,441119
128.0,106.0,441119
129.0,93.0,441119
130.0,63.0,441119
131.0,254.0,441119
132.0,223.0,441119
133.0,131.0,441119
134.0,18.0,441119
135.0,202.0,441119
136.0,10.0,441119
137.0,58.0,441119
138.0,464.0,441119
139.0,682.0,441119
140.0,336.0,441119
141.0,187.0,441119
142.0,192.0,441119
143.0,94.0,441119
144.0,521.0,441119
145.0,141.0,441119
146.0,375.0,441119
147.0,120.0,441119
148.0,167.0,441119
149.0,104.0,441119
150.0,143.0,441119
421.0,308.0,441119
422.0,-20.0,441119
423.0,199.0,441119
424.0,97.0,441119
425.0,28.0,441119
426.0,229.0,441119
427.0,127.0,441119
428.0,165.0,441119
429.0,60.0,441119
430.0,33.0,441119
431.0,330.0,441119
432.0,306.0,441119
433.0,68.0,441119
